dataset_name,classifier_name,accuracy
miniTimeMatch:FR1->AT1,Inception,0.8452875953000001
sleepStage:11->0,Inception,0.6886632826
cwrBearing:0->1,InceptionCDAN,0.8158730159
sportsActivities:p5->p4,InceptionDANN,0.7105263158
wisdm:5->1,CoDATS,0.4166666667
hhar:e->f,InceptionCDAN,0.6900826446
sportsActivities:p5->p4,Raincoat,0.8201754386000001
hhar:g->h,InceptionDANN,0.5483870968
sportsActivities:p1->p8,InceptionMix,0.4824561404
sleepStage:9->14,CoDATS,0.8109028961
har:12->16,CoDATS,0.6000000000000001
har:7->13,InceptionRain,0.9292929293000001
ultrasoundMuscleContraction:subject5->subject4,CoDATS,0.5075000000000001
sportsActivities:p5->p4,VRADA,0.4824561404
wisdm:27->3,Inception,0.6206896552
wisdm:7->30,Inception,0.1707317073
mfd:0->3,InceptionRain,0.4927857936
OnHWeq:OnHW_equations_R->OnHW_equations_L,InceptionRain,0.5031847134
ptbXLecg:0->3,InceptionSASA,0.5324675325
ptbXLecg:3->0,Inception,0.5899705015
sportsActivities:p7->p3,InceptionCDAN,0.5877192982
har:12->16,InceptionSASA,0.7363636364
miniTimeMatch:FR1->FR2,VRADA,0.8066528067000001
OnHWeq:OnHW_equations_L->OnHW_equations_R,InceptionCDAN,0.3527284958
wisdm:3->5,InceptionSASA,0.4565217391
cwrBearing:0->3,SASA,0.5801794772000001
mfd:1->2,InceptionCDAN,0.7924528302
mfd:0->1,VRADA,0.4539400666
sportsActivities:p3->p7,Inception,0.649122807
cwrBearing:0->3,VRADA,0.4299648849
miniTimeMatch:DK1->FR1,InceptionSASA,0.5621968122000001
mfd:1->0,VRADA,0.4539400666
cwrBearing:0->3,Inception,0.7877487320000001
ptbXLecg:1->2,Inception,0.6596858639000001
wisdm:5->1,Raincoat,0.7291666667000001
wisdm:27->3,InceptionSASA,0.2586206897
cwrBearing:2->0,OTDA,0.68460309
hhar:g->h,Inception,0.5099255583
har:7->13,CoDATS,0.9191919192
mfd:1->0,CoTMix,0.5338512764000001
hhar:i->a,Raincoat,0.5777479893
ultrasoundMuscleContraction:subject8->subject6,VRADA,0.645
mfd:1->2,VRADA,0.4539400666
cwrBearing:0->1,CoDATS,0.7976190476
mfd:1->3,InceptionCDAN,0.987791343
har:2->11,VRADA,0.3368421053
wisdm:7->30,CoTMix,0.4634146341
miniTimeMatch:DK1->FR1,Raincoat,0.6761954262000001
miniTimeMatch:FR2->DK1,InceptionCDAN,0.7934857935
OnHWeq:OnHW_equations_L->OnHW_equations_R,SASA,0.27806272600000004
sleepStage:16->1,CoTMix,0.5545851528
hhar:i->a,InceptionCDAN,0.5764075067000001
hhar:i->a,OTDA,0.22922252010000002
sleepStage:0->11,InceptionRain,0.6396917148
miniTimeMatch:AT1->FR2,InceptionRain,0.9140679141
ptbXLecg:0->3,Raincoat,0.5194805195000001
miniTimeMatch:FR1->AT1,CoTMix,0.2664587665
wisdm:21->31,Inception,0.4507042254
har:7->13,Inception,0.8383838384000001
cwrBearing:1->3,VRADA,0.42762387830000004
ptbXLecg:2->1,Inception,0.6537216828
miniTimeMatch:FR1->FR2,InceptionCDAN,0.840956341
